,botanical_name,common_name,family,plant_type,mature_size,sun_exposure,soil_type,soil_ph,bloom_time,flower_color,hardiness_zones,native_area
114,"Strelitzia reginae, Strelitzia nicolai","Bird of paradise, crane flower ",Strelitziaceae,Herbaceous perennial,"3.5-6 ft. tall, 3-4 ft. wide",Full to partial,Loamy,Slightly acidic,Late winter to early spring,Orange or white,10-12 (USDA),Africa (South Africa)
115,Asplenium nidus,"Bird's nest fern, nest fern",Aspleniaceae,Perennial,"3–5 ft. tall, 2–3 ft. wide","Partial, shade","Loamy, moist, well-drained",Acidic,None,None,"11–12, USA","Asia, Australia, Africa"
116,Fraxinus nigra,Black ash,,Deciduous tree,"40 to 60 feet height, 2 feet width",Full sun,Adaptable to a wide range of soils,4.4 to 8.2,April to May,Greenish-yellow,2-9,Eastern U.S. and Canada
117,Phyllostachys nigra,Black bamboo,,Grass ,"30 ft. tall, 2 in. wide",Full sun to partial shade,"Well-draining, moist, loamy",Acidic to slightly alkaline,Every 40 to 60 years,Brown,"7 to 10, USA",Asia
118,Betula lenta,"Sweet birch, black birch, cherry birch",,"Tree, deciduous",40-70 feet tall,Full sun,"Moist, well-drained",< 6.8,Spring,Green (catkins),3-7,Eastern North America
119,Citrullus lanatus ‘Black Diamond’,Black Diamond Watermelon,,Annual,vines can be 20 ft. long,Full,"Loamy, Sandy, Moist but Well-drained","Acidic, Neutral",Summer,Yellow,"3-9, USA",North America
120,Melampodium,"Butter daisy, Black foot",,Annual,"6-12 inches tall, 8-12 inches wide",Full sun,"Sandy, rocky",6-8,"Spring, Summer, Fall","White, yellow",9-11,"Mexico, Brazil, Southwestern US"
121, Picea glauca 'densata', Black Hills Spruce,,Coniferous Evergreen, 20-25 Feet Tall 10-15 Feet Tall ,Full Sun,"Moist, well-drained  ",Acidic,Non-flowering,Non-flowering,USDA 3 to 6,Black Hills of South Dakota
122,Gaylussacia baccata,Black huckleberry,,Perennial shrub,5' tall,Part shade,"Sandy, rocky",4.3-5.2,Spring,"Yellow, pink",3-7,North America
123," Sambucus nigra 'Eva'; ""Black Lace"" is the name used in trade", Black Lace elderberry,," Deciduous, multi-stemmed shrub", 6 to 8 feet tall and 6 to 8 feet wide, Full sun to partial shade," Evenly moist, humusy, with adequate drainage", Slightly acidic to neutral, June to July, Light pink," 4 to 7, USA", Europe
124,Brassica nigra,Black mustard,,"Herb, Annual",2 to 8 ft. tall,Full sun,"Rich, Moist Loams,",Neutral,March to June,Bright Yellow,USDA zones 4-7,"North Africa, Eurasia"
125,Diospyros nigra,"Black sapote, chocolate pudding fruit, chocolate sapote",,Evergreen fruit tree,,Full sun,,Slightly acidic to slightly alkaline (5.5 to 7.5),,,10-11 (USDA); usually grown as a potted houseplant,Central America
126,Salix nigra, Black willow,,Deciduous tree," 30-60 ft. tall, 40-60 ft. wide","Full sun, part shade"," Moist, well-drained soil, wet soil", 4.5 to 7.5, Early spring, Gold, USDA 4a-9a, Eastern to Midwest North America
127,Thunbergia alata,"Black-eyed Susan vine, clockvine",Acanthaceae,"Perennial, annual, vine","3-8 ft. tall, 3-6 ft. wide","Full, partial",Well-drained,Neutral,Summer,"Orange, white, yellow, red, pink",10-11 (USDA),Africa
128,Rubus Fruticosus,Blackberry,,Perennial,,Full sun,"Rich, well-drained loam",Slightly acidic to neutral (5.5 to 7.0),,,5–8,"North America, especially the Pacific Northwest"
129,Viburnum prunifolium,,,"Perennial, shrub","12–15 ft. tall, 6–12 ft. wide","Full, partial","Moist, well-drained",Neutral,Spring,White,3–9 (USDA),North America
130,Gaillardia x Grandiflora,,Asteraceae,Herbaceous perennial,24 - 36 in. tall; 12- to 24-in. spread ,Full sun,"Poor, well-draining soil",6.1 to 6.5 (slightly acidic),"Repeat bloomer, summer through fall","Various shades of red, yellow, orange, or peach",3-10 (USDA); varies by variety,Cultivated hybrid; parents are native North American wildflowers
131,Lamprocapnos spectabilis,"Bleeding heart, common bleeding heart, fern-leaf bleeding heart",Papaveraceae,"Herbaceous, perennial","6 in.-3 ft. tall, and 1-3 ft. wide",Part shade to full shade,Rich and moist,6.0 to 6.5 (slightly acidic); will tolerate neutral soils,Spring,"Pink, red, white",2 to 9 (USDA),
132,Scadoxus multiflorus,"Blood Lily, African Blood Lily, Fireball Lily",,Perennial,"24 in. tall, 15 in. wide",Partial,"Loamy, sandy, moist but well-drained","Acidic, Neutral, Alkaline","Summer, Fall",Red,"9-11, USA",Africa
133,Acer palmatum 'Bloodgood','Bloodgood' Japanese maple,Aceraceae,Tree,"15-20 ft. tall, 15-20 ft wide ","Full, partial","Clay, loamy, sandy, well-drained","Neutral, acidic",Summer,,5-8 (USDA),Asia
134,Syringa x,"Bloomerang lilac, reblooming lilac",,Deciduous shrub,Four to five feet tall and wide,Full sun,Loamy,Slightly alkaline 7.5,Spring and mid-summer through fall,"Lavender, pink, purple",3a-7b,Non-native hybrid
135,Hydrangea macrophylla 'P11HM-11',,Hydrangeaceae,Deciduous shrub,"3-4 ft. tall, 4-5 ft. wide",Partial shade,"Well-draining, moist","Acidic for blue blooms, alkaline for purple or red blooms",Summer,"Blue, purple, red",4-9 (USDA),"Cultivar, no native range"
136,Achyrachaena mollis,"Blow wives, soft blow wives",Asteraceae,Annual,1–2 feet tall,Full sun,Sandy loam to clay,Acidic to alkaline,"Spring, summer",Yellow,All zones (true annual),Western North America
137,Fraxinus quadrangulata,Blue ash,Oleaceae,Deciduous tree ,"50-75 ft. tall, 25–35 ft. wide",Full,"Well-drained, sandy loam",Acidic to alkaline (5.6–8.4),"Spring, summer",Purple (not showy),,North America
138,Cedrus atlantica,"Blue Atlas cedar, Weeping blue Atlas cedar",,Evergreen tree,"40–60 ft. tall, 30–40 ft. wide",Full sun,Well-drained,Acidic,Non-flowering,Non-flowering,6–9 (USDA),Africa
139,Caryopteris × clandonensis,"Blue beard, blue mist, blue spirea ",Lamiaceae,Deciduous shrub or woody perennial,2–4 ft. tall and wide,Full,"Medium moisture, well-drained",Neutral (6.5 to 7.5),Midsummer to early fall,"Blue, purple; pink cultivars available",6b-9a (USDA),Hybrid; parent species native to east Asia
140,Buddleia davidii 'Blue Chip',Blue Chip butterfly bush,Scrophulariaceae,Shrub,"24-36 in. tall, 24-36 in. wide",Full,Well-drained,"Acidic, neutral","Summer, fall","Blue, purple",5-9 (USDA),"Cultivar, no native range"
141,Evolvulus glomeratus,"Dwarf morning glory, blue daze, Brazilian dwarf morning glory, evolvulus",Convolvulaceae,"Perennial, annual","9–24 in. tall, 2–3 ft. wide",Full,"Moist, well-drained","Acidic, neutral","Summer, fall",Blue,8a-11a (USDA),South America
142,Sisyrinchium angustifolium,"Blue-eyed grass, narrow-leaved blue-eyed grass",Iridaceae,Perennial wildflower,"18–24 in. tall, 6–12 in. wide","Full, partial","Moist, well-drained",Acidic to neutral (5.0 to 7.0),Late spring,Blue-violet,4–9 (USDA),Eastern North America (Northern Florida to Canada)
143,Festuca glauca,"Blue fescue, blue fescue grass",Poaceae,"Perennial, grass","9-12 in. in high, 6-9 in. spread",Full,"Dry, well-draining","Neutral, acidic, alkaline",Summer,"Green, yellow",4-8 (USDA),Europe
144,Iris versicolor,"Northern blue flag, blue flag, harlequin blue flag, blue flag iris, large blue iris, larger blue flag, purple iris",,Herbaceous perennial,2 to 3 feet in height and spread,Full sun to part shade,Rich and moist,Less than 6.8 (acidic),May to July,Violet-blue,"3 to 9, USA",Eastern North America
145,Conoclinium coelestinum,"Blue Mistflower, Blue Boneset, Wild Ageratum, Hardy Ageratum",,Perennial,"1-3 ft. tall, 1-3 ft. wide","Full, partial","Loamy, sandy, clay, moist","Mildly acidic, neutral","Summer, fall","Blue, purple",,"Central and southeastern U.S., Canada, West Indies"
146,Helictotrichon sempervirens,Blue oat grass,,Perennial,2 to 3 feet tall and 2 to 3 feet wide,Full sun,Dry and well-drained,Slightly acidic to neutral,Summer,Blue,4 to 9,Europe
147,Juniperus horizontalis 'Wiltonii',"Blue rug juniper, creeping juniper, carpet juniper",Cupressaceae,"Evergreen shrub, groundcover","3-6 in. tall, 6-8 ft. wide",Full,Well-drained,"Acidic, neutral, alkaline",,,3-9 (USDA),North America
148,Salvia farinacea,"Mealycup sage, Victoria blue salvia, Victoria Blue flowering sage, mealy blue sage",,Herbaceous perennial,"1–3 ft. tall, 1–2 ft. wide","Full sun, partial shade",Moist but well-drained,Neutral to acidic,"Late spring, summer, fall",Violet blue,8–10 (USDA),North America
149,Picea pungens,"Blue Spruce, Green Spruce, White Spruce, Colorado Spruce, Colorado Blue Spruce",Pinaceae,Tree,"75 ft. high, 15-20 ft. wide.",Full,"Loamy, clay, sandy, moist, rich, well-drained","Acidic, neutral",,,2-7 (USDA),North America
150,Isotoma fluviatilis,"Blue Star Creeper, Swamp Isotome",,Herbaceous perennial,"3 inches high, 18 inch spread",Full sun,"Moist, well-draining",6.1 - 7.8,"Spring, summer","Light blue, light purple",6 - 9,"Australia, New Zealand"
151,Juniperus squamata 'Blue Star',"Blue star juniper, flaky juniper, Himalayan juniper, singleseed juniper",Cupressaceae,Shrub,"1 to 3 ft. tall, 1.5 to 3 ft. wide",Full,Sandy,"Acidic, alkaline",,,4-8 (USDA),Asia
152,Pilosocereus,"Column cactus, blue torch cactus, woolly torch cactus",,Cactus,"6–12 ft. tall, 2–4 ft. wide",Full sun,"Sandy, well-drained",Neutral to acidic,Summer,"White, white-yellow",9–11 (USDA),"Mexico, South America, Caribbean"
153,Vaccinium spp.,Blueberry,Ericaceae,"Fruit, perennial",,Full sun,"Sandy, well-drained",Acidic (4.0 to 5.2),Spring,,3–9 (USDA) (varies by species),North America
154,Arisaema triphyllum,"Bog onion, Jack-in-the-pulpit, wake robin",,Herbaceous corm,"1-2 ft. tall, with a similar spread",Partial shade to full shade,"Moist, humusy",Acidic,April to May,Greenish-purple,4-9 (USDA),Eastern North America
155,Brassica rapa var. chinensis,"Bok choy, Chinese cabbage, bok choi, pac choy, pac choi",Chinese brassicas,Biennial vegetable (usually grown as annual),,"Full sun, part shade","Rich, well-drained",6.5 to 7.0 (slightly acid to neutral),Summer,,2-11 (USDA),China
156, Eupatorium perfoliatum," Boneset, American boneset, feverwort, thoroughwort",, Herbaceous perennial,"Maximum 4 to 6 feet tall and 3 to 4 feet wide, but typically 3 feet tall and 1 foot wide in the wild", Full sun to partial shade," Average in fertility, average to above-average moisture", 6.5 to 7, July to September, White," 3 to 8, USDA", North America
157,Pinus Bonsai,Bonsai pine,,"Evergreen, coniferous tree",60-80 inches (or desired),Full sun,"Well-draining, bonsai soil",5.5 - 6.5,Does not flower,Does not flower,,"North America, China, South-East Asia, Russia, Europe"
158,Borago officinalis,"Borage, starflower, tailwort",Boraginaceae,"Annual, herb",,Full sun to partial shade,Well-drained,"Acidic, neutral, alkaline (4.5–8.5)",Summer,,2–11 (USDA),Mediterranean
159,Nephrolepis exaltata,,Lomariopsidaceae,"Herbaceous, perennial",2 to 3 feet tall and wide,Partial sun,"Moist, well-drained",Acidic (6.0 to 6.5),Non-flowering,Non-flowering,,"Americas, Africa, Polynesia"
160,Parthenocissus tricuspidata,Boston ivy,Vitaceae,"Vine, perennial",30–50 ft. long,"Full, partial","Loamy, moist","Acidic, alkaline",,,4–8 (USDA),Asia
161, Melaleuca viminalis," Weeping bottlebrush, red cascade", Myrtaceae," Tree, shrub"," 15-20 ft. tall, 15-20 ft. wide", Full," Loamy, sandy, moist but well-drained", Slightly alkaline," Spring, summer", Red," 9-11, USDA", Australia
162,Acer negundo ,Boxelder  ,Sapindaceae,Deciduous tree ,30–50 ft. tall and wide,Full ,"Moist, fertile (but tolerates all soils)",Acidic to neutral (5.0 to 7.5) ,Spring ,Pale green (not showy),2–10 (USDA),
163,Buxus spp.,,Buxaceae,Shrub,"2-8 ft. tall, 2-8 ft. wide","Full, partial",Loamy,"Neutral, alkaline",Spring,"Green, yellow",5-9 (USDA),"Europe, Asia"
164,Bacopa monnieri,"Water hyssop, brahmi, herb of grace",Plantaginacae,"Herbaceous, perennial","1–3 ft. tall, 1–4 ft. wide","Full, partial","Moist, wet; grows even in standing water",Acidic to neutral (5.0 to 7.0),Late spring to early fall,White to light pink,8–11 (USDA),"Warm wetlands of Americas, Asia, Africa"
165,Stenocactus multicostatus,,,Cactus,"Up to 5 in. tall, 6 in. wide",Full,"Sandy, well-drained","Acidic, neutral, alkaline","Spring, summer","White, pink, purple",9–11 (USDA),Central America
166,"Leptinella squalida, formerly known as Cotula squalida","Brass buttons, button weed, golden buttons",,Hardy perennial ground cover,Two inches tall; spreads up to 18 inches,Partial sun,Rich and loamy,Acidic; 5.5-6.8,Late spring,Yellow,4-9,New Zealand
167,Spiraea prunifolia,Bridal wreath spirea,Rosaceae,Shrub,"4-8 ft. tall, 4-8 ft. wide",Full,Well-draining,"Acidic, neutral",Spring,White,4-9 (USDA),Asia
168,Thunbergia alata,,Acanthaceae,"Perennial, annual, vine","3–8 ft. tall, 3–6 ft. wide","Full, partial","Loamy, rich, well-draining",Neutral,"Spring, summer, fall","Red, rose, orange, yellow, white",10-11 (USDA),Africa
169,Brassica oleracea var. italica,Broccoli,Brassicaceae,"Biennial, annual, vegetable",,Full sun ,"Moist, loamy, well-drained ","Acidic, neutral",,,2–11 (USDA) ,"Mediterranean, Asia "
170,Bromeliaceae genera,Bromeliad,Bromeliaceae,"Perennials; family includes both epiphyte (""air plant"") and terrestrial species",Varies by genera and species,"Bright, indirect light",Fast-draining potting soil,5.0 to 6.0 (acidic),Blooms once; timing varies,"Red, green, purple, orange, yellow",10-11 (USDA); usually grown as houseplants,Tropical and subtropical Americas
171,Cytisus spp. and Genista spp.,,,Evergreen shrub,"6-8 ft. tall, 5-6 ft. wide",Full,"Well-drained, loam, poor","Acidic, neutral, alkaline","Late spring, summer","Yellow, cream, crimson, brown-red, orange, rose, mauve, lavender",5-8 (USDA),Europe
172,Browallia speciosa,"Browallia, Amethyst flower, Bush violet, Sapphire flower",Solanaceae,Perennial,"1-2 ft. tall, 1-2 ft. wide ","Full, partial","Sandy, clay, loamy","Neutral to acidic, acidic, alkaline","Summer, fall","Blue, purple, white","10, 11",South America
173,Rudbeckia hirta,"Black-eyed Susan, brown Betty, Marguerite Jaune, hairy coneflower",Asteraceae,"Perennial, biennial","2-3 ft. tall, 1-2 ft. wide",Full,"Moist, well-drained","Acidic, neutral",Summer,Yellow,3-7 (USDA),North America
174,Rudbeckia triloba ,"Brown-eyed susan, thin leaved coneflower ",,"Biennial, short-lived perennials ",Up to 5 ft. tall,,"Fertile, loam, tolerates clay and gravel",Slightly acidic ,"Mid to late summer, often blooms until fall",Bright yellow,3 through 10 (USDA) ,
175,Brugmansia,"Brugmansia, trumpet of death, Angel's trumpet, Moonflower",Solanaceae,"Perennial, shrub","6–20 ft. tall, 3–15 ft. wide",Full,"Moist, but well-drained",Acidic,"Summer, fall","White, yellow, gold, orange, pink, peach",9–11 (USDA),South America
176,Brunnera macrophylla,,,"Herbaceous, perennial",12–18 in. tall; 18–30 in. spread,"Full, partial, shade ","Medium moisture, well-drained ","Acidic, neutral to acidic, alkaline ",Spring ,Blue,3–8 (USDA),"Asia, Europe"
177,Brassica oleracea var. gemmifera,Brussels sprouts,Brassicaceae,"Biennial, annual, vegetable",,Full sun,"Loamy, well-drained",Neutral,Summer,,2–10 (USDA),Mediterranean
178, Tillandsia bulbosa, Bulbous Air Plant,, perennial herbaceous, 4–7 inches," Bright, indirect light or part shade", None, None, Once per lifetime, Violet, 9–11," Mexico, Central and South America"
179,Typha latifolia,"Common cattail, broadleaf cattail, bulrush",Typhaceae,"Perennial, herbaceous","5-10 ft. tall, 18-24 in. wide","Full, partial","Moist, loamy","Acidic, neutral, alkaline ",Summer,Brown,3-10 (USDA),"Europe, North America, Asia"
180,Opuntia microdasys,"Bunny ear cactus, angel's wings cactus, polka dot cactus",,Cactus,"2-3 ft. tall, 4-5 ft. spread",Full sun,"Sandy, well-draining","Acidic, neutral",Summer,"Yellow, white","9a, 9b, 10a, 10b, 11a, 11b",Mexico
181,Quercus macrocarpa,"Bur oak, mossycup oak",Fagaceae,Tree,"70-90 ft. tall, 60-90 ft. wide",Full,"Sandy, silt, clay, loamy","Acidic, neutral, alkaline",,,3-8 (USDA),North America
182,Sedum morganianum,"Donkey's tail, burro's tail, lamb's tail",Crassulaceae,"Perennial, succulent","1–4 ft. long, 1–2 ft. wide","Full, partial","Loamy, sandy","Neutral, alkaline ",Summer,"Red, white, yellow",10–11 (USDA),North America
183,Lactuca sativa var. capitata,"Butterhead lettuce, butter lettuce, butter leaf, buttercrunch",,"Annual, vegetable",,"Full sun, partial sun","Loamy, moist, well-drained","Acidic, neutral",,,2–11 (USDA),Mediterranean
184,Corylopsis pauciflora,"Buttercup winter hazel, winter hazel",Hamamelidaceae,Deciduous shrub,4–6 ft. tall and wide,"Full, partial","Rich, medium-moisture, well-drained",Acidic (less than 6.0),Late winter to early spring,Pale yellow,,
185,Buddleja davidii ,Butterfly bush,Scrophulariaceae,"Shrub, perennial","3–12 ft. tall, 3-8-ft. wide",Full,"Moist, well-drained soil","Acidic, neutral",Summer,"Purple, pink, blue, white, yellow",5–9 (USDA),Asia
186,Psychopsis,"Psychopsis orchid, butterfly orchid",,Orchid,"12-16"" tall","Bright, indirect light","Sphagnum moss, bark mix",5.5 - 6.5,Varies,"Yellow, orange, pink, red.",,"Central America, Southern America"
187,Asclepias tuberosa,"Butterfly weed, butterfly milkweed, pleurisy root, orange milkweed",Asclepiadaceae,,,,,Slightly acid to neutral (6.0 to 7.0),,,,
188,Cucurbita moschata,,,Annual,"9-18 in. tall, 10-15 ft. wide (vine length); bush varieties take up less space",Full sun,"Rich, well-drained",Acidic to neutral (5.5 to 7.0),Summer,Yellow,2 to 11 (UDSA),"Central America, South America"
